id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
793,67.36,358940.473,4614115.313,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2159,2009,1753,1645,2647,3187,2582,3411,2704,1766
794,34.66,358858.241,4614120.512,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1301,1350,1529,1400,2027,2430,2559,2695,2344,1561
795,22.53,358903.318,4614154.593,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1525,1432,1677,1841,2510,2854,2871,3123,2755,1929
796,20.11,358837.317,4614162.708,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1274,1264,1395,1564,2056,2399,2137,2642,2554,1707
797,38.42,358833.962,4614194.43,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1836,1624,1825,1580,2295,2654,2544,2890,2485,1686
798,72.18,358921.842,4614194.262,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1836,1559,1411,1528,2600,3050,3298,3258,2464,1573
799,20.64,358884.16,4614194.223,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1599,1514,1513,1876,2782,3195,2977,3244,2945,2203
800,32.31,359003.73,4614155.832,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1431,1498,1270,1523,2152,2480,2494,2685,2512,1816
801,34.84,359184.117,4614349.237,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1707,1581,1815,1680,2769,3333,2974,3548,2582,1736
802,18.78,359294.973,4614346.911,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1710,1862,2060,2008,2589,2921,2939,3188,3026,2353
803,19.67,359446.913,4614458.136,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1210,1265,1338,1483,2502,2947,3139,3305,2432,1640
804,61.32,359522.191,4614486.551,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1436,1516,1768,1649,2296,2554,2399,2731,2528,1934
805,27.37,360115.555,4614764.013,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1315,1349,1359,1499,2356,2768,2937,3048,2682,1732
806,105.26,360300.44,4614803.021,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1632,1816,1882,1964,2590,3045,3422,3444,3364,2290
807,34.44,360071.734,4614890.599,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1255,1293,1248,1497,2542,3072,2596,3211,2497,1584
808,5.15,357455.471,4614609.192,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1478,1569,2121,2073,2406,2567,2594,2723,2860,2250
809,48.54,357245.781,4614936.977,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1275,1379,1327,1506,2469,2840,2804,3052,2306,1464
810,56.93,357174.573,4614814.75,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1627,1727,1535,1441,2152,2538,2675,2659,2097,1356
811,68.11,357150.276,4614783.147,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1392,1204,1053,1377,2106,2388,2085,2683,1994,1332
812,13.51,357165.983,4614812.513,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1399,1413,1440,1441,2152,2538,2725,2659,2097,1356
813,3.19,357143.212,4614782.892,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1439,1522,1374,1377,2106,2388,3109,2683,1994,1332
814,40.59,357135.675,4614768.475,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1409,1377,1242,1766,2543,3087,3410,3356,2568,1729
815,67.14,357083.991,4614699.226,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1229,1429,908,1180,2696,3146,3340,3228,1832,912
816,69.37,357032.809,4614640.043,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1902,1892,1769,1963,3090,3684,3671,4063,2310,1308
817,61.58,357016.526,4614625.27,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1460,1550,1371,1348,2170,2598,2493,2712,1855,1187
818,90.29,356956.089,4614571.261,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1354,1341,1120,1301,2548,3037,3122,3437,2021,1282
819,85.82,356906.662,4614547.894,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1232,1256,1296,1285,2706,3327,4109,3705,2113,1289
820,62.98,356819.661,4614542.539,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1493,1510,1262,1662,2189,2495,2670,2688,2438,1891
821,5.52,356615.688,4614430.346,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1550,1413,1599,1686,1851,2027,1851,2254,2254,1722
822,4.43,356642.026,4614434.246,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1343,1499,1630,1988,2337,2710,2561,2906,2877,2093
823,34.57,356532.952,4614360.286,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1698,1856,2267,1992,2591,2889,3127,2984,2808,2332
824,37.18,356553.072,4614369.648,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1825,1816,2229,2147,2983,3494,3444,3913,2738,2029
