,id,Area,X,Y,Estado,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12,id_img
1465,701,66.87,358010.102,4610554.44,VACIA,1859,1847,1910,1812,2314,2546,2428,2710,2626,1966,701_20200819
1466,703,62.51,358105.79299999995,4610893.283,VACIA,2133,2354,2885,3031,3196,3352,2998,3267,3335,2814,703_20200819
1467,710,69.57,358385.43,4610855.1280000005,LLENA,1440,1381,1203,1515,2587,3045,2961,3384,2463,1557,710_20200819
1468,714,107.54,356262.06,4611677.364,LLENA,2406,2424,2667,1983,2043,2151,2593,2227,1921,1673,714_20200819
1469,715,83.25,356275.075,4611668.788,LLENA,2020,1980,1913,2504,2685,2774,2375,2862,2326,1858,715_20200819
1470,721,83.07,357011.35299999994,4612648.51,VACIA,1761,1790,2195,1998,2299,2336,2888,2436,2981,2493,721_20200819
1471,723,97.35,355873.549,4613183.886,VACIA,2782,2601,2946,2505,2749,2923,3377,3153,2800,2193,723_20200819
1472,726,299.54,356977.834,4614173.538,LLENA,2370,2003,1308,1671,2634,3169,2875,3157,2161,1351,726_20200819
1473,727,57.18,356992.501,4614224.367,LLENA,1866,1630,1392,1415,3323,4031,3941,4539,2166,1119,727_20200819
1474,734,163.38,359104.92100000003,4611262.836,LLENA,1315,1214,1079,1530,3269,3848,3913,4465,2315,1304,734_20200819
1475,757,56.47,358989.00200000004,4611817.138,VACIA,2679,2740,2853,3236,3451,3831,3169,3820,3588,3553,757_20200819
